Target_genes	Dlx3|Average	SRX15842786|Epidermis	SRX2350671|Keratinocytes	STRING
Ipmk	59.500000	0	119	0
Hspb11	59.500000	0	119	0
Hmgxb3	59.500000	0	119	0
Hmgb2	59.500000	0	119	0
Heatr5a	59.500000	0	119	0
Eif4b	59.500000	0	119	0
Dgkd	59.500000	0	119	0
Ctbp1	59.500000	0	119	0
Cnot11	59.500000	0	119	0
Cisd1	59.500000	0	119	0
Arpc1a	59.500000	0	119	0
Upf2	59.000000	0	118	0
Trir	59.000000	118	0	0
Spast	59.000000	0	118	0
Sgms1	59.000000	118	0	0
Sbno2	59.000000	0	118	0
Rnf24	59.000000	0	118	0
Pxmp2	59.000000	0	118	0
Pole	59.000000	0	118	0
Pa2g4	59.000000	0	118	0
Nedd8	59.000000	0	118	0
Myzap	59.000000	0	118	0
Limk1	59.000000	0	118	0
Klhl36	59.000000	0	118	0
Hsd17b7	59.000000	0	118	0
Gmpr2	59.000000	0	118	0
Ggct	59.000000	118	0	0
Get3	59.000000	118	0	0
Dlc1	59.000000	0	118	0
Cyp11a1	59.000000	118	0	0
Cnot1	59.000000	0	118	0
Cdan1	59.000000	0	118	0
C77080	59.000000	0	118	0
Abca4	59.000000	0	118	0
Tmprss4	58.500000	117	0	0
Sp2	58.500000	0	117	0
Rsl1d1	58.500000	0	117	0
Rrm2b	58.500000	0	117	0
Naa25	58.500000	0	117	0
Mnt	58.500000	0	117	0
Mib1	58.500000	0	117	0
Lrrc1	58.500000	0	117	0
Limd1	58.500000	0	117	0
Gse1	58.500000	117	0	0
Gpaa1	58.500000	0	117	0
Fyco1	58.500000	0	117	0
Fam83c	58.500000	0	117	0
Exosc4	58.500000	0	117	0
Dad1	58.500000	0	117	0
Clba1	58.500000	0	117	0
Cad	58.500000	0	117	0
Abhd4	58.500000	0	117	0
2310057M21Rik	58.500000	0	117	0
Tmem209	58.000000	0	116	0
Tmem184b	58.000000	0	116	0
Taf4b	58.000000	0	116	0
Syvn1	58.000000	116	0	0
Ssmem1	58.000000	0	116	0
Serpina12	58.000000	116	0	0
Nup160	58.000000	0	116	0
Ncl	58.000000	0	116	0
Lsm4	58.000000	0	116	0
Gm13570	58.000000	0	116	0
Bmf	58.000000	0	116	0
Bcl6	58.000000	116	0	0
Arid5a	58.000000	0	116	0
Anapc11	58.000000	0	116	0
Alyref	58.000000	0	116	0
Vcl	57.500000	0	115	0
Srebf1	57.500000	0	115	0
Sdccag8	57.500000	0	115	0
Reep4	57.500000	0	115	0
Pold2	57.500000	0	115	0
Naa15	57.500000	0	115	0
Mtmr12	57.500000	0	115	0
Mindy2	57.500000	0	115	0
Hivep1	57.500000	0	115	0
Gpx4	57.500000	0	115	0
Ccsap	57.500000	0	115	0
Brpf1	57.500000	0	115	0
Atp6v1fnb	57.500000	0	115	0
Atp6v1f	57.500000	0	115	0
Abhd17c	57.500000	0	115	0
Zfp846	57.000000	0	114	0
Zfc3h1	57.000000	0	114	0
Zfat	57.000000	0	114	0
Xrcc2	57.000000	0	114	0
Ube2j2	57.000000	0	114	0
Txlna	57.000000	0	114	0
Trim24	57.000000	0	114	0
Thap2	57.000000	0	114	0
Tex14	57.000000	114	0	0
Skap2	57.000000	0	114	0
Ocln	57.000000	114	0	0
Lmnb1	57.000000	0	114	0
Kif20a	57.000000	0	114	0
Irgq	57.000000	0	114	0
Exoc6b	57.000000	114	0	0
Eef1e1	57.000000	0	114	0
Cdc42se2	57.000000	0	114	0
Cbfa2t2	57.000000	0	114	0
Brd8	57.000000	0	114	0
Arid1a	57.000000	0	114	0
Anapc1	57.000000	0	114	0
Actl6a	57.000000	0	114	0
Ablim2	57.000000	0	114	0
Znrf4	56.500000	0	113	0
Tubgcp3	56.500000	0	113	0
Tnik	56.500000	0	113	0
Tle3	56.500000	0	113	0
Tbc1d10c	56.500000	0	113	0
Setx	56.500000	0	113	0
Sertad2	56.500000	0	113	0
Rprd2	56.500000	0	113	0
Rab14	56.500000	0	113	0
Ppp1ca	56.500000	0	113	0
Nrbf2	56.500000	0	113	0
Ndel1	56.500000	0	113	0
Mapk1	56.500000	0	113	0
Kpna3	56.500000	0	113	0
Kcnk7	56.500000	0	113	0
Elf2	56.500000	0	113	0
Dennd4a	56.500000	0	113	0
Dcaf10	56.500000	0	113	0
Crebbp	56.500000	0	113	0
Cfap97	56.500000	0	113	0
Anln	56.500000	0	113	0
Aftph	56.500000	0	113	0
Aadac	56.500000	113	0	0
9530077C05Rik	56.500000	0	113	0
Zfand1	56.000000	0	112	0
Usp5	56.000000	0	112	0
Ube2q1	56.000000	0	112	0
Tmf1	56.000000	112	0	0
Tbck	56.000000	0	112	0
Taf5	56.000000	0	112	0
Syt16	56.000000	0	112	0
Pja2	56.000000	0	112	0
Pds5b	56.000000	0	112	0
Nudt9	56.000000	0	112	0
Naa16	56.000000	0	112	0
Krt23	56.000000	0	112	0
Ddx10	56.000000	0	112	0
Cdca3	56.000000	0	112	0
Ccny	56.000000	0	112	0
Ccng1	56.000000	0	112	0
Aimp1	56.000000	0	112	0
Washc3	55.500000	0	111	0
Spring1	55.500000	0	111	0
Slc35e3	55.500000	0	111	0
Rnft2	55.500000	0	111	0
Ppp4r2	55.500000	0	111	0
Plk3	55.500000	0	111	0
Phf20l1	55.500000	0	111	0
Pde6d	55.500000	0	111	0
Pcbp3	55.500000	0	111	0
Pak1	55.500000	0	111	0
Osbpl8	55.500000	0	111	0
Itgav	55.500000	0	111	0
Dynlt1a	55.500000	0	111	0
Cops7b	55.500000	0	111	0
Cnn3	55.500000	111	0	0
Cenpc1	55.500000	0	111	0
Ccnd3	55.500000	0	111	0
Atf2	55.500000	0	111	0
Ufl1	55.000000	0	110	0
Ube2h	55.000000	110	0	0
Trio	55.000000	0	110	0
Tob1	55.000000	0	110	0
Sh3glb1	55.000000	0	110	0
Sema3f	55.000000	0	110	0
Rnf34	55.000000	0	110	0
Rdh13	55.000000	110	0	0
Qars	55.000000	0	110	0
Polr2e	55.000000	0	110	0
Mvk	55.000000	0	110	0
Mrpl34	55.000000	0	110	0
Mmab	55.000000	0	110	0
Hnrnpd	55.000000	0	110	0
Ets1	55.000000	0	110	0
Dgke	55.000000	0	110	0
Dda1	55.000000	0	110	0
Cipc	55.000000	0	110	0
Bcas2	55.000000	0	110	0
Wdr77	54.500000	0	109	0
Usp25	54.500000	0	109	0
Uck2	54.500000	0	109	0
Ube2d2a	54.500000	0	109	0
Tmem60	54.500000	0	109	0
Tmem107	54.500000	109	0	0
Tigd5	54.500000	0	109	0
Strada	54.500000	0	109	0
Setd3	54.500000	0	109	0
Ptpn4	54.500000	0	109	0
Pon2	54.500000	109	0	0
Pigf	54.500000	0	109	0
Phtf2	54.500000	0	109	0
Pdss1	54.500000	0	109	0
Lama3	54.500000	0	109	0
Eef1d	54.500000	0	109	0
Ddhd2	54.500000	0	109	0
Cript	54.500000	0	109	0
Ccnk	54.500000	0	109	0
C87436	54.500000	0	109	0
Atp5pb	54.500000	0	109	0
Alox12	54.500000	0	109	0
Acly	54.500000	0	109	0
Wdfy3	54.000000	108	0	0
Ubqln4	54.000000	0	108	0
Ube2k	54.000000	0	108	0
Tspan4	54.000000	0	108	0
Sox12	54.000000	0	108	0
Smim14	54.000000	0	108	0
Sap30	54.000000	108	0	0
Rel	54.000000	108	0	0
Rab25	54.000000	0	108	0
Polr2l	54.000000	0	108	0
Pofut1	54.000000	0	108	0
Plagl2	54.000000	0	108	0
Nectin3	54.000000	0	108	0
Mxd4	54.000000	0	108	0
Lrrc8b	54.000000	108	0	0
Lamtor2	54.000000	0	108	0
Kdm7a	54.000000	0	108	0
Icmt	54.000000	0	108	0
Hdac6	54.000000	0	108	0
Gatd3a	54.000000	0	108	0
Etv1	54.000000	0	108	0
Ereg	54.000000	108	0	0
Eml4	54.000000	0	108	0
Dhx16	54.000000	0	108	0
Cdk5rap2	54.000000	0	108	0
Cdk10	54.000000	0	108	0
Tomm70a	53.500000	0	107	0
Tmprss11f	53.500000	107	0	0
Tmem254c	53.500000	0	107	0
Tmem254b	53.500000	0	107	0
Tmem254a	53.500000	0	107	0
Stxbp3	53.500000	0	107	0
Sft2d3	53.500000	0	107	0
Ripk2	53.500000	107	0	0
Rhbdd2	53.500000	0	107	0
Rab40c	53.500000	0	107	0
Pold3	53.500000	0	107	0
N4bp2l2	53.500000	0	107	0
Fam110a	53.500000	0	107	0
Esrp1	53.500000	0	107	0
Dzip1l	53.500000	0	107	0
Bcl2l15	53.500000	107	0	0
Banp	53.500000	0	107	0
Ap1m1	53.500000	0	107	0
Rpl36	53.000000	0	106	0
Ptp4a2	53.000000	0	106	0
Plekha6	53.000000	0	106	0
Micos13	53.000000	0	106	0
Ltbp4	53.000000	0	106	0
Dhx15	53.000000	106	0	0
Crybg2	53.000000	106	0	0
4931408C20Rik	53.000000	106	0	0
Zfp959	52.500000	0	105	0
Usp4	52.500000	0	105	0
Unkl	52.500000	0	105	0
Tspan17	52.500000	0	105	0
Trp53bp2	52.500000	0	105	0
Senp1	52.500000	0	105	0
Sacm1l	52.500000	0	105	0
Pfkm	52.500000	0	105	0
Percc1	52.500000	0	105	0
Pdgfb	52.500000	105	0	0
Ndufv2	52.500000	0	105	0
Gcfc2	52.500000	0	105	0
Ell	52.500000	0	105	0
Eif1	52.500000	105	0	0
Edem1	52.500000	0	105	0
BC003965	52.500000	0	105	0
Afg1l	52.500000	0	105	0
Zfp513	52.000000	0	104	0
Ttc27	52.000000	0	104	0
Trabd	52.000000	0	104	0
Sfr1	52.000000	0	104	0
Serac1	52.000000	0	104	0
Rmi2	52.000000	0	104	0
Plxdc2	52.000000	104	0	0
Nfkbiz	52.000000	104	0	0
Ndrg1	52.000000	0	104	0
Mad2l1	52.000000	0	104	0
Lgals8	52.000000	0	104	0
Gtf2h5	52.000000	0	104	0
Fbxo27	52.000000	0	104	0
Def8	52.000000	0	104	0
Bard1	52.000000	0	104	0
Atp11b	52.000000	0	104	0
Acot7	52.000000	0	104	0
Xpnpep1	51.500000	0	103	0
Wwp1	51.500000	0	103	0
Ubald1	51.500000	0	103	0
Osgin1	51.500000	0	103	0
Mfn1	51.500000	0	103	0
Mettl7a1	51.500000	103	0	0
Ier2	51.500000	103	0	0
Ctnna1	51.500000	0	103	0
Zc3h18	51.000000	0	102	0
Ubtf	51.000000	0	102	0
Trpv3	51.000000	0	102	0
Sumf2	51.000000	0	102	0
Stag1	51.000000	0	102	0
Slc35f5	51.000000	0	102	0
Rtf2	51.000000	0	102	0
Preb	51.000000	0	102	0
Pld3	51.000000	0	102	0
Pdcl3	51.000000	0	102	0
Mark3	51.000000	102	0	0
Lsr	51.000000	0	102	0
Lrrc8a	51.000000	0	102	0
Lrrc56	51.000000	0	102	0
Hras	51.000000	0	102	0
Fam187b	51.000000	0	102	0
Donson	51.000000	0	102	0
Dab2ip	51.000000	0	102	0
Crlf2	51.000000	102	0	0
Clptm1	51.000000	0	102	0
Akirin1	51.000000	0	102	0
2310022A10Rik	51.000000	0	102	0
Wdr44	50.500000	0	101	0
Rtkn2	50.500000	0	101	0
Pknox1	50.500000	0	101	0
Pcnx3	50.500000	0	101	0
Nhs	50.500000	0	101	0
Mrln	50.500000	0	101	0
Micall1	50.500000	0	101	0
Map3k11	50.500000	0	101	0
Isy1	50.500000	0	101	0
Eif4e	50.500000	0	101	0
Dmkn	50.500000	101	0	0
Chchd5	50.500000	0	101	0
Alg6	50.500000	0	101	0
Zbtb12	50.000000	0	100	0
Togaram1	50.000000	0	100	0
Spink8	50.000000	0	100	0
Pou2f1	50.000000	0	100	0
Pi4kb	50.000000	0	100	0
Pdik1l	50.000000	0	100	0
Pde4b	50.000000	0	100	0
Ndfip2	50.000000	0	100	0
Klhl28	50.000000	0	100	0
Kdm5c	50.000000	0	100	0
Kazn	50.000000	0	100	0
Fbxl22	50.000000	0	100	0
Fam193a	50.000000	0	100	0
Elf5	50.000000	100	0	0
Ehmt2	50.000000	0	100	0
Dusp8	50.000000	0	100	0
Csnk1g2	50.000000	0	100	0
Crk	50.000000	0	100	0
Atxn7l3	50.000000	0	100	0
Acsl1	50.000000	0	100	0
Usp8	49.500000	0	99	0
Ube2f	49.500000	0	99	0
Tuft1	49.500000	99	0	0
Tbcd	49.500000	0	99	0
Tbcb	49.500000	0	99	0
Sdk1	49.500000	0	99	0
Psmb2	49.500000	0	99	0
Polr2i	49.500000	0	99	0
Ovol3	49.500000	0	99	0
Nudcd1	49.500000	0	99	0
Myo6	49.500000	0	99	0
Myl6b	49.500000	0	99	0
Myl6	49.500000	0	99	0
Irak3	49.500000	0	99	0
Eny2	49.500000	0	99	0
Cyld	49.500000	0	99	0
B4galnt3	49.500000	0	99	0
Atg2a	49.500000	0	99	0
Asnsd1	49.500000	0	99	0
Asdurf	49.500000	0	99	0
Zc3h12a	49.000000	0	98	0
Tsen54	49.000000	0	98	0
Rab11a	49.000000	0	98	0
Pwwp3a	49.000000	0	98	0
Prepl	49.000000	0	98	0
Pcna	49.000000	0	98	0
Ndufs3	49.000000	0	98	0
Mtch1	49.000000	0	98	0
Map7	49.000000	98	0	0
Kmt2c	49.000000	0	98	0
Kbtbd4	49.000000	0	98	0
Kbtbd3	49.000000	0	98	0
Jmy	49.000000	0	98	0
Gpi1	49.000000	0	98	0
Eps8l1	49.000000	0	98	0
Eloc	49.000000	0	98	0
Dtnb	49.000000	0	98	0
Dsg1b	49.000000	98	0	0
Caskin2	49.000000	0	98	0
Camkmt	49.000000	0	98	0
Ankle2	49.000000	0	98	0
Aasdhppt	49.000000	0	98	0
Zfp91	48.500000	0	97	0
Tbl1xr1	48.500000	0	97	0
Sp1	48.500000	97	0	0
Sesn2	48.500000	0	97	0
Pcf11	48.500000	0	97	0
Mbd4	48.500000	0	97	0
Max	48.500000	0	97	0
Lpxn	48.500000	0	97	0
Klhl8	48.500000	0	97	0
Ift122	48.500000	0	97	0
Bcl10	48.500000	0	97	0
Wdr89	48.000000	0	96	0
Tbc1d2	48.000000	0	96	0
Ptpn2	48.000000	0	96	0
Proser1	48.000000	0	96	0
Pdia4	48.000000	0	96	0
Nhlrc3	48.000000	0	96	0
Mien1	48.000000	0	96	0
Mdm1	48.000000	0	96	0
Lsm11	48.000000	0	96	0
Lca5l	48.000000	0	96	0
Itfg2	48.000000	0	96	0
Hibadh	48.000000	0	96	0
H2az2	48.000000	0	96	0
Get4	48.000000	0	96	0
Fbxo46	48.000000	0	96	0
Cycs	48.000000	0	96	0
Blmh	48.000000	0	96	0
Bhmg1	48.000000	0	96	0
Zfp672	47.500000	0	95	0
Zfp438	47.500000	0	95	0
Umad1	47.500000	0	95	0
Snip1	47.500000	0	95	0
Slc39a11	47.500000	95	0	0
Slc35a4	47.500000	0	95	0
Slc19a2	47.500000	0	95	0
Rpa3	47.500000	0	95	0
Ppp1r13b	47.500000	0	95	0
Mdn1	47.500000	0	95	0
Fam90a1b	47.500000	0	95	0
Dnali1	47.500000	0	95	0
Avl9	47.500000	0	95	0
Apoo	47.500000	0	95	0
Apbb3	47.500000	0	95	0
Ankrd26	47.500000	0	95	0
Vkorc1l1	47.000000	0	94	0
Utp15	47.000000	0	94	0
Ufm1	47.000000	0	94	0
Tcte2	47.000000	0	94	0
Suclg1	47.000000	0	94	0
Srp68	47.000000	0	94	0
Snx25	47.000000	0	94	0
Smarca5	47.000000	0	94	0
Prmt9	47.000000	0	94	0
Pak4	47.000000	0	94	0
Myh14	47.000000	0	94	0
Gpsm1	47.000000	0	94	0
Farp2	47.000000	0	94	0
Cirbp	47.000000	0	94	0
Ccdc150	47.000000	0	94	0
Ccdc124	47.000000	0	94	0
Atp7b	47.000000	0	94	0
Ankra2	47.000000	0	94	0
Alg11	47.000000	0	94	0
Afdn	47.000000	0	94	0
AW549877	47.000000	0	94	0
Usp7	46.500000	93	0	0
Spry1	46.500000	0	93	0
Serpina11	46.500000	0	93	0
Rpl23	46.500000	0	93	0
Ppp6r2	46.500000	0	93	0
Nudt2	46.500000	0	93	0
Kif24	46.500000	0	93	0
Id4	46.500000	0	93	0
Hikeshi	46.500000	0	93	0
Gga1	46.500000	0	93	0
Fam234a	46.500000	0	93	0
Cldn8	46.500000	0	93	0
Arhgap12	46.500000	0	93	0
Xpnpep3	46.000000	0	92	0
St13	46.000000	0	92	0
Serbp1	46.000000	0	92	0
Marchf5	46.000000	92	0	0
Hic2	46.000000	0	92	0
Epb41l5	46.000000	0	92	0
Cpeb3	46.000000	92	0	0
Cnot2	46.000000	92	0	0
Btrc	46.000000	0	92	0
Acer3	46.000000	0	92	0
Abcf2	46.000000	0	92	0
Zc3h10	45.500000	0	91	0
Tbc1d32	45.500000	0	91	0
Slc39a2	45.500000	0	91	0
Rpl41	45.500000	0	91	0
Nabp1	45.500000	91	0	0
Hyal4	45.500000	91	0	0
Ctnnal1	45.500000	0	91	0
Cdc6	45.500000	0	91	0
Zfp142	45.000000	0	90	0
Stfa3	45.000000	90	0	0
Pih1d1	45.000000	0	90	0
Mrps16	45.000000	0	90	0
Matr3	45.000000	0	90	0
Kdm5b	45.000000	90	0	0
Gm51425	45.000000	0	90	0
Gadd45g	45.000000	90	0	0
Fpgs	45.000000	0	90	0
Dnajc9	45.000000	0	90	0
Bcs1l	45.000000	0	90	0
Aldh16a1	45.000000	0	90	0
Zfp957	44.500000	0	89	0
Ugdh	44.500000	0	89	0
Tcerg1	44.500000	0	89	0
Scrn3	44.500000	0	89	0
Hdac4	44.500000	0	89	0
Desi2	44.500000	0	89	0
Dennd1a	44.500000	0	89	0
Csrnp1	44.500000	0	89	0
Cir1	44.500000	0	89	0
Cbx1	44.500000	0	89	0
Als2	44.500000	0	89	0
Add3	44.500000	0	89	0
Yme1l1	44.000000	0	88	0
Suz12	44.000000	0	88	0
Slc35g3	44.000000	88	0	0
Polr2a	44.000000	88	0	0
Pdpk1	44.000000	0	88	0
Micall2	44.000000	88	0	0
Mastl	44.000000	0	88	0
Dact3	44.000000	0	88	0
Cfl1	44.000000	0	88	0
Bptf	44.000000	0	88	0
Atp1a1	44.000000	0	88	0
Trim26	43.500000	87	0	0
Tomt	43.500000	0	87	0
Psapl1	43.500000	0	87	0
Nbeal2	43.500000	0	87	0
Myc	43.500000	87	0	0
Lamtor1	43.500000	0	87	0
Fam136a	43.500000	0	87	0
Ddx5	43.500000	87	0	0
Cops8	43.500000	0	87	0
Cep95	43.500000	87	0	0
Ccdc171	43.500000	0	87	0
Ccdc12	43.500000	0	87	0
Ate1	43.500000	0	87	0
Oga	43.000000	0	86	0
Nrep	43.000000	0	86	0
Exosc5	43.000000	0	86	0
Cep72	43.000000	0	86	0
Bckdha	43.000000	0	86	0
Atp13a2	43.000000	0	86	0
Tbc1d31	42.500000	0	85	0
Rnf7	42.500000	0	85	0
Il12rb2	42.500000	85	0	0
Gtdc1	42.500000	0	85	0
Dixdc1	42.500000	0	85	0
Cyb5r4	42.500000	0	85	0
Zbtb2	42.000000	0	84	0
U2af2	42.000000	0	84	0
Siah1a	42.000000	0	84	0
Rsu1	42.000000	0	84	0
Rcbtb1	42.000000	0	84	0
Prpsap2	42.000000	0	84	0
Otud4	42.000000	0	84	0
Mad2l1bp	42.000000	0	84	0
Lipn	42.000000	84	0	0
Fignl1	42.000000	0	84	0
Ccdc106	42.000000	0	84	0
Angel1	42.000000	0	84	0
Tmem147	41.500000	0	83	0
Sptan1	41.500000	0	83	0
Sec31a	41.500000	83	0	0
Padi3	41.500000	0	83	0
Abtb1	41.500000	0	83	0
Uso1	41.000000	0	82	0
Trpm7	41.000000	0	82	0
Pcyox1	41.000000	0	82	0
G3bp2	41.000000	0	82	0
Fbxo11	41.000000	0	82	0
Ccdc174	41.000000	0	82	0
Tubd1	40.500000	0	81	0
Rps6kb1	40.500000	0	81	0
Rer1	40.500000	0	81	0
Morn1	40.500000	0	81	0
Git2	40.500000	0	81	0
Epb41	40.500000	81	0	0
Efna5	40.500000	0	81	0
Ccdc85c	40.500000	0	81	0
Ankrd50	40.500000	0	81	0
Ankrd13a	40.500000	0	81	0
Zfp605	40.000000	0	80	0
Wdr53	40.000000	80	0	0
Lpar2	40.000000	80	0	0
Gtpbp6	40.000000	0	80	0
Fbxo45	40.000000	80	0	0
Diaph3	40.000000	0	80	0
Ctdsp1	40.000000	0	80	0
Cdc42	40.000000	0	80	0
Cdadc1	40.000000	0	80	0
Vrk1	39.500000	0	79	0
Sgpl1	39.500000	0	79	0
Rnpc3	39.500000	0	79	0
Pak2	39.500000	0	79	0
Mapk6	39.500000	0	79	0
Ehbp1	39.500000	0	79	0
Anapc4	39.500000	0	79	0
Flg2	39.000000	78	0	0
Zc3h6	38.500000	0	77	0
Zbtb26	38.500000	0	77	0
Vapa	38.500000	0	77	0
Rabl6	38.500000	0	77	0
Pgap3	38.500000	77	0	0
Csde1	38.500000	77	0	0
Zc3h12c	38.000000	0	76	0
Pnpla8	38.000000	76	0	0
Dnajc13	38.000000	0	76	0
Cyp4f39	38.000000	76	0	0
Ccnf	38.000000	0	76	0
Trit1	37.500000	0	75	0
Nrf1	37.500000	0	75	0
Mtmr6	37.500000	0	75	0
Mphosph10	37.500000	0	75	0
Mcee	37.500000	0	75	0
Elf3	37.500000	75	0	0
Wdr37	37.000000	0	74	0
Trappc2l	37.000000	0	74	0
Galns	37.000000	0	74	0
Fosl2	37.000000	0	74	0
Spa17	36.500000	0	73	0
Siae	36.500000	0	73	0
Sec22b	36.500000	0	73	0
Cldn1	36.500000	73	0	0
Mtmr2	36.000000	0	72	0
Ift88	36.000000	0	72	0
Ddx50	36.000000	0	72	0
Amz2	36.000000	0	72	0
Zfp64	35.500000	0	71	0
Rbfox2	35.500000	0	71	0
Oas1f	35.500000	0	71	0
Fxr1	35.500000	0	71	0
Ubxn6	35.000000	0	70	0
Trim32	35.000000	0	70	0
Hdgfl2	35.000000	0	70	0
Satb1	34.000000	68	0	0
Utp14b	33.500000	0	67	0
Pld2	33.500000	0	67	0
Acsl3	33.500000	0	67	0
Naa80	33.000000	66	0	0
Hyal1	33.000000	66	0	0
Sfn	32.500000	65	0	0
Uhrf1	32.000000	0	64	0
Creld1	31.500000	0	63	0
Map3k7	31.000000	0	62	0
Nfyc	30.500000	0	61	0
Hspe1	30.500000	0	61	0
Hspd1	30.500000	0	61	0
