Target_genes	Prdm5|Average	SRX731121|MC3T3	SRX731122|MC3T3	SRX731123|MC3T3	STRING
Snx12	1469.666667	2078	2331	0	0
Kmt2a	1461.666667	2067	2318	0	0
2610001J05Rik	1442.000000	2030	2296	0	0
Bub3	1438.666667	1990	2326	0	0
C1qbp	1381.000000	1988	2155	0	0
Postn	1357.666667	1872	2201	0	0
Lig4	1341.666667	1875	2150	0	0
Abhd13	1341.666667	1875	2150	0	0
Clock	1299.666667	1909	1990	0	0
Col12a1	1299.000000	1688	2209	0	0
Tcstv3	1298.000000	1462	1754	678	0
Syt8	1293.000000	1903	1976	0	0
Zfp672	1255.000000	1570	2195	0	0
Col9a3	1250.000000	1775	1975	0	0
Slc5a5	1225.333333	1645	2031	0	0
Rpl18a	1225.333333	1645	2031	0	0
Serpinh1	1223.000000	1823	1846	0	0
Zscan26	1222.666667	1567	2101	0	0
Col5a1	1220.666667	1734	1928	0	0
Ppard	1219.000000	1792	1865	0	0
Ccn4	1195.666667	1724	1863	0	0
Srpx	1172.666667	1460	2058	0	0
Cldn34d	1159.000000	1210	1539	728	0
Naglu	1158.666667	1419	2057	0	0
Nsmf	1151.666667	1602	1853	0	0
Arhgap33	1137.333333	1496	1916	0	0
Dmxl1	1116.666667	1362	1988	0	0
Usp20	1096.666667	1283	2007	0	0
BC005624	1096.666667	1283	2007	0	0
Mkx	1085.333333	1916	1340	0	0
S100a6	1084.333333	1414	1839	0	0
Atg16l2	1078.333333	1421	1814	0	0
Atxn7l3	1054.666667	1288	1876	0	0
Cnmd	1050.000000	1274	1876	0	0
Adamts2	1047.333333	1365	1777	0	0
Hspe1	1043.333333	1859	1271	0	0
Hspd1	1043.333333	1859	1271	0	0
Zfp523	1022.000000	1903	1163	0	0
C1qc	975.000000	1257	1668	0	0
Fmod	965.333333	1281	1615	0	0
Cdt1	945.666667	1091	1746	0	0
Slc26a8	921.000000	1143	1620	0	0
Mapk14	921.000000	1143	1620	0	0
Tef	871.000000	1101	1512	0	0
Trim35	856.000000	1085	1483	0	0
Col1a2	844.333333	1243	1290	0	0
Golph3	837.333333	944	1568	0	0
Tm7sf3	836.333333	1203	1306	0	0
Chd8	806.666667	885	1535	0	0
Plekhg6	800.666667	983	1419	0	0
Ogfrl1	785.333333	822	1534	0	0
Atg7	782.000000	1017	1329	0	0
Tex261	779.666667	961	1378	0	0
Slc25a25	773.000000	879	1440	0	0
Naif1	773.000000	879	1440	0	0
Dctd	771.666667	858	1457	0	0
Lmod1	754.333333	1017	1246	0	0
Mettl24	740.000000	832	1388	0	0
Tiam2	739.000000	800	1417	0	0
Ppan	733.666667	876	1325	0	0
Irf2bp1	729.333333	775	1413	0	0
Bckdk	728.333333	782	1403	0	0
Clmp	691.666667	758	1317	0	0
Zfp143	686.666667	1259	686	115	0
Bag2	678.666667	683	1353	0	0
Serinc4	664.333333	775	1218	0	0
Hypk	664.333333	775	1218	0	0
Cr1l	655.666667	743	1224	0	0
Kpna1	645.333333	644	735	557	0
Oasl1	643.666667	718	737	476	0
Slc39a13	630.000000	702	1188	0	0
Ptprs	626.333333	766	1113	0	0
Setd1b	609.333333	730	1098	0	0
Brox	605.000000	607	845	363	0
Aida	605.000000	607	845	363	0
Slc35a4	599.333333	771	1027	0	0
Apbb3	599.333333	771	1027	0	0
Eps8	594.333333	578	1205	0	0
Fgfr2	577.666667	570	1163	0	0
Col14a1	574.000000	688	1034	0	0
Pdgfra	572.333333	609	1108	0	0
Col9a2	571.000000	620	1093	0	0
Prcd	568.333333	561	1144	0	0
Cygb	568.333333	561	1144	0	0
Pole3	563.000000	587	1102	0	0
Alad	563.000000	587	1102	0	0
4933430I17Rik	563.000000	587	1102	0	0
Rcn1	556.333333	598	1071	0	0
Ptpn12	556.000000	503	1165	0	0
Tmem88	548.333333	604	1041	0	0
Naa38	548.333333	604	1041	0	0
Cyb5d1	548.333333	604	1041	0	0
Rubcn	547.666667	484	1159	0	0
Sik3	542.666667	554	1074	0	0
Pafah1b2	542.666667	554	1074	0	0
Snapin	542.333333	592	1035	0	0
Tmem63b	542.000000	617	1009	0	0
Mrpl14	542.000000	617	1009	0	0
Eif2s1	534.000000	474	1128	0	0
Atp6v1d	534.000000	474	1128	0	0
Yipf3	528.333333	634	951	0	0
Polr1c	528.333333	634	951	0	0
Cemip2	527.666667	474	1109	0	0
Wwox	522.333333	426	452	689	0
Fnip1	519.666667	657	902	0	0
Olfr806	518.666667	540	506	510	0
Tmem125	518.333333	541	712	302	0
Strn	517.666667	586	967	0	0
Abhd6	514.666667	471	402	671	0
Prkd3	507.333333	520	1002	0	0
Hells	506.000000	569	949	0	0
Asmt	505.666667	527	544	446	0
Ap3b1	504.000000	633	879	0	0
Wdcp	498.333333	542	953	0	0
Dbn1	495.000000	529	956	0	0
Rybp	494.666667	504	980	0	0
Foxf1	492.333333	495	982	0	0
Zfp219	491.666667	429	1046	0	0
Tmem253	491.666667	429	1046	0	0
Tkfc	488.000000	557	907	0	0
Ddb1	488.000000	557	907	0	0
Rrbp1	487.666667	369	1094	0	0
Exoc2	484.666667	640	814	0	0
Fam227a	480.000000	519	921	0	0
Cby1	480.000000	519	921	0	0
Psmd3	478.666667	570	866	0	0
Wnt10b	476.000000	489	939	0	0
Setd4	475.666667	563	864	0	0
Cbr1	475.666667	563	864	0	0
Olfml2b	475.333333	573	853	0	0
Oas1c	474.000000	444	978	0	0
Oas1b	474.000000	444	978	0	0
Fosl1	474.000000	444	978	0	0
Ercc5	473.000000	578	841	0	0
Rbms1	467.333333	603	799	0	0
Xab2	467.000000	612	789	0	0
Pet100	467.000000	612	789	0	0
Pcp2	467.000000	612	789	0	0
Bbs5	463.333333	451	939	0	0
Atp6v1g1	461.333333	543	841	0	0
Klf3	456.666667	558	812	0	0
Cbll1	455.333333	420	946	0	0
Adra2a	452.333333	527	830	0	0
Rab23	450.333333	501	850	0	0
Smim13	440.000000	439	881	0	0
C1ql4	439.333333	453	865	0	0
Fryl	438.666667	619	697	0	0
Arhgap10	437.333333	414	898	0	0
Esd	437.000000	555	756	0	0
Ypel4	436.000000	494	814	0	0
Wdr37	435.333333	410	896	0	0
Ccdc171	434.666667	412	892	0	0
Rfc2	430.666667	417	875	0	0
Plekhg3	426.000000	263	1015	0	0
Tpgs1	424.000000	435	837	0	0
Smpd1	421.000000	431	832	0	0
Zbtb5	418.666667	400	856	0	0
Polr1e	418.666667	400	856	0	0
Smim14	418.000000	352	902	0	0
Vmn2r4	413.666667	397	368	476	0
Chpf2	398.666667	508	688	0	0
Esr1	394.333333	313	313	557	0
Rab32	384.666667	444	710	0	0
Rplp0	382.333333	406	741	0	0
Gcn1	382.333333	406	741	0	0
Prps1l3	381.000000	426	717	0	0
Mipol1	381.000000	426	717	0	0
Yeats2	380.000000	495	645	0	0
Cuedc1	380.000000	415	725	0	0
Tspo	379.666667	397	742	0	0
Sec23ip	378.000000	420	714	0	0
Mcmbp	378.000000	420	714	0	0
Ints13	376.333333	231	898	0	0
Fgfr1op2	376.333333	231	898	0	0
Srsf4	369.666667	407	702	0	0
Cep70	369.000000	447	660	0	0
Fosl2	365.000000	479	616	0	0
Marveld1	359.333333	493	585	0	0
Sec63	358.666667	343	733	0	0
Dusp10	358.666667	370	706	0	0
1700056E22Rik	358.666667	370	706	0	0
Antxr1	356.000000	415	653	0	0
Triobp	355.333333	377	689	0	0
Rev1	354.333333	463	600	0	0
Fam214b	352.333333	394	663	0	0
Pipox	350.333333	324	727	0	0
Krt33b	350.333333	387	664	0	0
Cd2bp2	345.333333	350	686	0	0
Mta1	343.333333	343	687	0	0
Ncapg	341.000000	417	606	0	0
Cdh12	340.000000	262	265	493	0
Nfkbie	337.333333	357	655	0	0
Vash2	336.333333	257	752	0	0
Krt36	334.000000	384	618	0	0
Cbx2	329.000000	393	594	0	0
Gpt2	328.000000	353	631	0	0
Nat2	327.333333	349	633	0	0
Nat1	327.333333	349	633	0	0
Arpp19	326.333333	266	713	0	0
Krt31	325.666667	340	637	0	0
Trim39	325.000000	252	723	0	0
Fbxl19	323.000000	328	641	0	0
Noct	322.666667	271	697	0	0
Tm9sf3	322.333333	275	692	0	0
Tmub1	322.000000	376	590	0	0
Agap3	322.000000	376	590	0	0
Pik3ca	321.000000	328	635	0	0
Map3k7	320.666667	285	677	0	0
Junb	319.000000	313	644	0	0
Tmem11	317.666667	314	639	0	0
Gimap5	314.000000	332	610	0	0
Gimap1	314.000000	332	610	0	0
Gnas	313.000000	287	652	0	0
Snai1	311.666667	417	518	0	0
Zfp37	311.000000	725	208	0	0
Ttc7	310.333333	365	566	0	0
Gxylt2	310.333333	320	611	0	0
C1ql3	307.000000	337	584	0	0
Krt35	305.333333	309	607	0	0
Krt32	305.333333	309	607	0	0
Aox4	302.000000	281	625	0	0
Llgl1	301.000000	263	640	0	0
Ier5l	301.000000	270	633	0	0
Zbtb7a	298.666667	228	668	0	0
Pomt1	296.333333	283	606	0	0
Herpud2	294.666667	304	580	0	0
Nrp1	292.666667	297	581	0	0
Chmp4b	292.666667	244	634	0	0
Rara	291.666667	328	547	0	0
Gltp	286.000000	305	553	0	0
Etv5	285.333333	223	633	0	0
Fbxl14	281.000000	281	562	0	0
Phf21b	279.666667	233	606	0	0
Gde1	275.666667	292	535	0	0
Rab5c	274.333333	221	602	0	0
Naa50	274.333333	301	522	0	0
Atp6v1a	274.333333	301	522	0	0
Vmn2r102	273.666667	426	253	142	0
Tfap2a	271.333333	257	557	0	0
Arhgef25	270.666667	280	532	0	0
Csf2ra	270.333333	198	297	316	0
Tusc2	268.000000	300	504	0	0
Lpin2	266.333333	251	548	0	0
Fndc3b	263.666667	288	503	0	0
Prpf4	262.333333	257	530	0	0
Il31ra	262.333333	301	329	157	0
Cdc26	262.333333	257	530	0	0
Ddx47	259.666667	217	562	0	0
Ankrd40	259.000000	347	430	0	0
Uggt1	258.000000	333	441	0	0
Ppp1r9b	257.333333	251	521	0	0
Tmem134	256.333333	193	576	0	0
Aip	256.333333	193	576	0	0
Kmt5b	256.000000	262	506	0	0
Rfx2	255.333333	252	514	0	0
Dck	255.333333	288	478	0	0
Tle3	252.666667	236	522	0	0
Chst15	252.000000	314	442	0	0
Usp36	250.000000	327	423	0	0
Fmc1	248.666667	315	431	0	0
Lrrtm3	247.333333	204	538	0	0
Tmem175	247.000000	262	479	0	0
Gak	247.000000	262	479	0	0
Ttc41	245.000000	240	495	0	0
Hsp90b1	245.000000	240	495	0	0
Gsdme	244.666667	129	605	0	0
Adam1b	242.666667	279	449	0	0
Ube2j1	242.333333	314	413	0	0
Tdg	240.666667	235	487	0	0
Vim	240.333333	238	483	0	0
Tmeff1	239.666667	242	477	0	0
Socs1	238.333333	312	403	0	0
Fgf15	236.666667	254	456	0	0
Ddx23	236.666667	253	457	0	0
Mknk2	236.333333	271	438	0	0
Mia3	235.000000	159	546	0	0
Tspan9	234.333333	218	485	0	0
Ss18l2	234.000000	304	398	0	0
Sec22c	234.000000	304	398	0	0
Pura	233.333333	236	464	0	0
Kpna3	232.333333	175	522	0	0
Ppp4r1	230.666667	144	548	0	0
Unc119b	229.666667	237	452	0	0
Sdad1	229.000000	274	413	0	0
Dnaic2	227.666667	202	481	0	0
Erbb3	227.000000	212	469	0	0
Nup205	225.333333	222	454	0	0
Tmem120b	224.666667	195	479	0	0
Timp1	224.000000	187	485	0	0
Krt34	224.000000	205	467	0	0
Gmppa	223.000000	213	456	0	0
Arhgef2	222.333333	219	448	0	0
Smoc2	221.333333	195	469	0	0
Trpc4ap	221.000000	118	545	0	0
Theg	220.000000	216	444	0	0
Prdm15	220.000000	213	447	0	0
Stk24	218.666667	175	481	0	0
H1f2	217.666667	222	431	0	0
Cfap58	217.666667	229	424	0	0
Bcat1	217.000000	276	375	0	0
Ppp1r12c	216.000000	199	449	0	0
Trir	215.666667	180	467	0	0
Get3	215.666667	180	467	0	0
Zfc3h1	213.666667	245	396	0	0
Thap2	213.666667	245	396	0	0
Nfix	213.666667	272	369	0	0
Rnf187	211.666667	146	489	0	0
Rock1	211.333333	262	372	0	0
Tmem123	211.000000	262	371	0	0
Spata5l1	210.666667	212	420	0	0
Satb2	210.333333	147	484	0	0
Rhot1	208.333333	286	339	0	0
Cacna1c	208.333333	212	413	0	0
Tmod1	206.000000	205	413	0	0
Pygo1	206.000000	186	432	0	0
Tarbp1	205.333333	186	430	0	0
Srsf3	204.666667	235	379	0	0
Sephs1	204.000000	183	429	0	0
Ifit1bl2	203.666667	195	416	0	0
Ifit1	203.666667	195	416	0	0
Glo1	203.333333	119	491	0	0
Rmi1	203.000000	224	385	0	0
Hnrnpk	203.000000	224	385	0	0
Gse1	202.333333	211	396	0	0
Nudt13	202.000000	264	342	0	0
Mapk8ip3	202.000000	237	369	0	0
Zfp292	201.666667	161	444	0	0
Grasp	201.666667	128	477	0	0
Fam53a	201.333333	231	373	0	0
Stk25	199.333333	223	375	0	0
Tnfrsf12a	198.333333	281	314	0	0
Thoc6	198.333333	281	314	0	0
Hcfc1r1	198.333333	281	314	0	0
Mcoln1	198.000000	183	411	0	0
Lamb1	197.000000	249	342	0	0
Cox20	196.333333	114	475	0	0
Sap30l	196.000000	192	396	0	0
Esyt2	196.000000	163	425	0	0
Nap1l1	195.666667	236	351	0	0
Rbm18	194.666667	250	334	0	0
Mrrf	194.666667	250	334	0	0
Txndc9	193.000000	212	367	0	0
Eif5b	193.000000	212	367	0	0
Synpo2	191.333333	135	439	0	0
Tiparp	187.333333	181	381	0	0
Myl6	185.333333	280	276	0	0
Dvl3	183.333333	224	326	0	0
Tmf1	180.666667	225	317	0	0
Mrps26	180.333333	161	380	0	0
Ptms	178.666667	135	401	0	0
Zfand5	178.000000	143	391	0	0
Nfe2l2	178.000000	172	362	0	0
Dlx4	176.666667	160	370	0	0
Rttn	176.333333	187	342	0	0
Khk	174.333333	145	378	0	0
Trmt10a	173.333333	224	296	0	0
Mttp	173.333333	224	296	0	0
St3gal1	172.666667	152	366	0	0
Lsm11	171.666667	139	376	0	0
Habp2	171.000000	139	374	0	0
Wnt3a	170.666667	157	355	0	0
Tenm4	170.666667	236	276	0	0
Chmp6	170.333333	511	0	0	0
Prorsd1	169.000000	152	355	0	0
Anks1b	169.000000	152	355	0	0
Cdc42ep1	167.333333	207	295	0	0
Tango2	166.333333	239	260	0	0
Arvcf	166.333333	239	260	0	0
Abtb2	166.333333	103	396	0	0
Aurkb	165.666667	127	370	0	0
Foxk1	165.000000	194	301	0	0
Clip1	164.666667	163	331	0	0
Card19	164.000000	139	353	0	0
Vdac3	163.666667	181	310	0	0
Cdk18	162.666667	126	362	0	0
Agpat4	162.333333	143	344	0	0
Tmem189	162.000000	234	252	0	0
Hmgn3	160.333333	152	329	0	0
Ube2g1	159.000000	211	266	0	0
Dnah2	159.000000	123	354	0	0
Slc37a2	158.666667	0	476	0	0
Haus7	156.333333	0	469	0	0
Col1a1	155.000000	197	268	0	0
Ubac1	154.666667	167	297	0	0
Fcnb	154.666667	153	311	0	0
Cilp2	154.000000	124	338	0	0
Fastkd1	153.333333	140	320	0	0
Soat2	153.000000	79	380	0	0
Pex2	153.000000	118	341	0	0
Nanp	153.000000	72	387	0	0
Smim41	151.666667	158	297	0	0
Sh3bp5	151.000000	0	453	0	0
Rspo1	151.000000	163	290	0	0
Pggt1b	150.000000	140	310	0	0
Uqcrc1	149.666667	175	274	0	0
Cdc16	149.333333	148	300	0	0
Trappc4	148.666667	129	317	0	0
Rps25	148.666667	129	317	0	0
Gusb	147.000000	160	281	0	0
Cntn2	146.333333	126	313	0	0
Ywhag	146.000000	143	295	0	0
Cop1	145.333333	0	436	0	0
Ptma	145.000000	157	278	0	0
Ptger1	144.666667	114	320	0	0
Hdac7	144.333333	126	307	0	0
9230019H11Rik	144.000000	163	169	100	0
Calr3	143.666667	126	305	0	0
1700030K09Rik	143.666667	126	305	0	0
Pim3	142.666667	153	275	0	0
Gpam	141.666667	425	0	0	0
Otud1	141.000000	0	423	0	0
Mrpl21	141.000000	131	292	0	0
Ighmbp2	141.000000	131	292	0	0
Map3k1	140.666667	0	422	0	0
Cyp2d9	140.666667	217	205	0	0
Foxd2	140.333333	0	421	0	0
Mat2a	139.666667	193	226	0	0
U2af1	139.333333	153	265	0	0
Sgms1	139.000000	134	283	0	0
Ctif	139.000000	186	231	0	0
Slc25a18	138.333333	0	415	0	0
Ints2	137.666667	187	226	0	0
Sspn	137.333333	181	231	0	0
Fam227b	137.333333	0	241	171	0
Dtwd1	137.333333	0	241	171	0
Aadacl2fm1	137.000000	411	0	0	0
Dennd4a	136.333333	0	409	0	0
Nfatc1	135.000000	199	206	0	0
Tnk2	133.666667	147	254	0	0
Wdr12	133.000000	124	275	0	0
Carf	133.000000	124	275	0	0
Mn1	132.333333	108	289	0	0
Scrib	132.000000	0	396	0	0
Lrig3	132.000000	138	258	0	0
Tpm2	131.666667	102	293	0	0
Mbd6	130.000000	175	215	0	0
Cipc	130.000000	140	250	0	0
Jtb	129.333333	112	276	0	0
Rps6ka2	129.000000	0	387	0	0
Rap1b	129.000000	166	221	0	0
C1ql1	128.333333	97	288	0	0
Ephx1	127.000000	136	245	0	0
Rgs20	126.666667	152	228	0	0
Oxsm	126.666667	152	228	0	0
Ngly1	126.666667	152	228	0	0
Zfp9	126.333333	157	222	0	0
Zbed4	126.000000	140	238	0	0
Ralbp1	125.333333	173	203	0	0
Lefty2	124.666667	188	186	0	0
Lrp4	124.333333	0	373	0	0
Ddit4	123.333333	130	240	0	0
Tlr5	123.000000	143	226	0	0
Zfp781	122.000000	168	198	0	0
Rrm2	122.000000	0	366	0	0
Gm3055	122.000000	168	198	0	0
Fam110b	121.666667	103	262	0	0
Dut	121.333333	0	364	0	0
Zpbp2	120.333333	163	198	0	0
Naprt	120.333333	0	361	0	0
Ikzf3	120.333333	163	198	0	0
Slc7a1	119.666667	132	227	0	0
Eif2s2	119.333333	95	263	0	0
Ace	119.333333	125	233	0	0
Lrriq3	119.000000	129	228	0	0
Fpgt	119.000000	129	228	0	0
Erlin2	118.666667	152	204	0	0
Dipk1c	118.333333	0	355	0	0
Epc2	117.000000	86	265	0	0
Plec	116.666667	164	186	0	0
Gadd45gip1	116.333333	0	349	0	0
Tmem183a	115.000000	129	216	0	0
