ligand	receptor
Tgfb1	TGFbR1_R2
Tgfb2	TGFbR1_R2
Tgfb3	TGFbR1_R2
Tgfb1	ACVR1B_TGFbR2
Tgfb1	ACVR1C_TGFbR2
Tgfb2	ACVR1B_TGFbR2
Tgfb2	ACVR1C_TGFbR2
Tgfb3	ACVR1B_TGFbR2
Tgfb3	ACVR1C_TGFbR2
Tgfb1	ACVR1_TGFbR
Tgfb2	ACVR1_TGFbR
Tgfb3	ACVR1_TGFbR
Bmp2	BMPR1A_ACVR2A
Bmp2	BMPR1A_ACVR2B
Bmp2	BMPR1A_BMPR2
Bmp2	BMPR1B_ACVR2A
Bmp2	BMPR1B_ACVR2B
Bmp2	BMPR1B_BMPR2
Bmp4	BMPR1A_ACVR2A
Bmp4	BMPR1A_ACVR2B
Bmp4	BMPR1A_BMPR2
Bmp4	BMPR1B_ACVR2A
Bmp4	BMPR1B_ACVR2B
Bmp4	BMPR1B_BMPR2
Gdf5	BMPR1A_ACVR2A
Gdf5	BMPR1A_ACVR2B
Gdf5	BMPR1A_BMPR2
Gdf5	BMPR1B_ACVR2A
Gdf5	BMPR1B_ACVR2B
Gdf5	BMPR1B_BMPR2
Gdf6	BMPR1A_ACVR2A
Gdf6	BMPR1A_ACVR2B
Gdf6	BMPR1A_BMPR2
Gdf6	BMPR1B_ACVR2A
Gdf6	BMPR1B_ACVR2B
Gdf6	BMPR1B_BMPR2
Gdf7	BMPR1A_ACVR2A
Gdf7	BMPR1A_ACVR2B
Gdf7	BMPR1A_BMPR2
Gdf7	BMPR1B_ACVR2A
Gdf7	BMPR1B_ACVR2B
Gdf7	BMPR1B_BMPR2
Bmp15	BMPR1B_BMPR2
Bmp5	ACVR1_ACVR2A
Bmp5	ACVR1_ACVR2B
Bmp5	ACVR1_BMPR2
Bmp5	BMPR1A_ACVR2A
Bmp5	BMPR1A_ACVR2B
Bmp5	BMPR1A_BMPR2
Bmp5	BMPR1B_ACVR2A
Bmp5	BMPR1B_ACVR2B
Bmp5	BMPR1B_BMPR2
Bmp6	ACVR1_ACVR2A
Bmp6	ACVR1_ACVR2B
Bmp6	ACVR1_BMPR2
Bmp6	BMPR1A_ACVR2A
Bmp6	BMPR1A_ACVR2B
Bmp6	BMPR1A_BMPR2
Bmp6	BMPR1B_ACVR2A
Bmp6	BMPR1B_ACVR2B
Bmp6	BMPR1B_BMPR2
Bmp7	ACVR1_ACVR2A
Bmp7	ACVR1_ACVR2B
Bmp7	ACVR1_BMPR2
Bmp7	BMPR1A_ACVR2A
Bmp7	BMPR1A_ACVR2B
Bmp7	BMPR1A_BMPR2
Bmp7	BMPR1B_ACVR2A
Bmp7	BMPR1B_ACVR2B
Bmp7	BMPR1B_BMPR2
Bmp8a	ACVR1_ACVR2A
Bmp8a	ACVR1_ACVR2B
Bmp8a	ACVR1_BMPR2
Bmp8a	BMPR1A_ACVR2A
Bmp8a	BMPR1A_ACVR2B
Bmp8a	BMPR1A_BMPR2
Bmp8a	BMPR1B_ACVR2A
Bmp8a	BMPR1B_ACVR2B
Bmp8a	BMPR1B_BMPR2
Bmp8b	ACVR1_ACVR2A
Bmp8b	ACVR1_ACVR2B
Bmp8b	ACVR1_BMPR2
Bmp8b	BMPR1A_ACVR2A
Bmp8b	BMPR1A_ACVR2B
Bmp8b	BMPR1A_BMPR2
Bmp8b	BMPR1B_ACVR2A
Bmp8b	BMPR1B_ACVR2B
Bmp8b	BMPR1B_BMPR2
Bmp10	ACVRL1_BMPR2
Bmp10	ACVRL1_ACVR2A
Gdf2	ACVRL1_BMPR2
Gdf2	ACVRL1_ACVR2A
Gdf9	ACVR1B_BMPR2
Gdf10	ACVR1B_ACVR2A
Gdf11	TGFBR1_ACVR2A
Gdf11	TGFBR1_ACVR2B
Gdf11	ACVR1B_ACVR2B
Gdf15	Tgfbr2
Mstn	TGFBR1_ACVR2B
Mstn	ACVR1B_ACVR2B
Mstn	ACVR1B_ACVR2A
Mstn	TGFBR1_ACVR2A
Amh	AMHR2_ACVR1
Amh	AMHR2_BMPR1A
Gdnf	GFRA1_RET
Nrtn	GFRA2_RET
Artn	GFRA3_RET
Pspn	GFRA4_RET
Artn	GFRA1_RET
Nodal	ACVR1B_ACVR2A_CFC1
Nodal	ACVR1C_ACVR2A_CFC1
Nodal	ACVR1B_ACVR2B_CFC1
Nodal	ACVR1C_ACVR2B_CFC1
Gdf1	ACVR1B_ACVR2A_CFC1
Gdf1	ACVR1B_ACVR2B_CFC1
Gdf1	ACVR1C_ACVR2A_CFC1
Gdf1	ACVR1C_ACVR2B_CFC1
Gdf3	ACVR1B_ACVR2A_CFC1
Gdf3	ACVR1B_ACVR2B_CFC1
Gdf3	ACVR1C_ACVR2A_CFC1
Gdf3	ACVR1C_ACVR2B_CFC1
Inhba	ACVR1B_ACVR2A
Inhba	ACVR1B_ACVR2B
Inhbb	ACVR1B_ACVR2A
Inhbb	ACVR1B_ACVR2B
Inhbb	ACVR1C_ACVR2A
Inhbb	ACVR1C_ACVR2B
Inhbc	ACVR1B_ACVR2A
Inhbc	ACVR1B_ACVR2B
Inhbc	ACVR1C_ACVR2A
Inhbc	ACVR1C_ACVR2B
Inhbe	ACVR1B_ACVR2A
Inhbe	ACVR1B_ACVR2B
Inhbe	ACVR1C_ACVR2A
Inhbe	ACVR1C_ACVR2B
Activin AB	ACVR1B_ACVR2A
Activin AB	ACVR1B_ACVR2B
Activin AB	ACVR1C_ACVR2A
Activin AB	ACVR1C_ACVR2B
Inhibin A	Acvr2a
Inhibin B	Acvr2b
Wnt1	FZD1_LRP5
Wnt1	FZD10_LRP5
Wnt1	FZD2_LRP5
Wnt1	FZD3_LRP5
Wnt1	FZD4_LRP5
Wnt1	FZD5_LRP5
Wnt1	FZD6_LRP5
Wnt1	FZD7_LRP5
Wnt1	FZD8_LRP5
Wnt1	FZD9_LRP5
Wnt10a	FZD1_LRP5
Wnt10a	FZD10_LRP5
Wnt10a	FZD2_LRP5
Wnt10a	FZD3_LRP5
Wnt10a	FZD4_LRP5
Wnt10a	FZD5_LRP5
Wnt10a	FZD6_LRP5
Wnt10a	FZD7_LRP5
Wnt10a	FZD8_LRP5
Wnt10a	FZD9_LRP5
Wnt10b	FZD1_LRP5
Wnt10b	FZD10_LRP5
Wnt10b	FZD2_LRP5
Wnt10b	FZD3_LRP5
Wnt10b	FZD4_LRP5
Wnt10b	FZD5_LRP5
Wnt10b	FZD6_LRP5
Wnt10b	FZD7_LRP5
Wnt10b	FZD8_LRP5
Wnt10b	FZD9_LRP5
Wnt16	FZD1_LRP5
Wnt16	FZD10_LRP5
Wnt16	FZD2_LRP5
Wnt16	FZD3_LRP5
Wnt16	FZD4_LRP5
Wnt16	FZD5_LRP5
Wnt16	FZD6_LRP5
Wnt16	FZD7_LRP5
Wnt16	FZD8_LRP5
Wnt16	FZD9_LRP5
Wnt2	FZD1_LRP5
Wnt2	FZD10_LRP5
Wnt2	FZD2_LRP5
Wnt2	FZD3_LRP5
Wnt2	FZD4_LRP5
Wnt2	FZD5_LRP5
Wnt2	FZD6_LRP5
Wnt2	FZD7_LRP5
Wnt2	FZD8_LRP5
Wnt2	FZD9_LRP5
Wnt2b	FZD1_LRP5
Wnt2b	FZD10_LRP5
Wnt2b	FZD2_LRP5
Wnt2b	FZD3_LRP5
Wnt2b	FZD4_LRP5
Wnt2b	FZD5_LRP5
Wnt2b	FZD6_LRP5
Wnt2b	FZD7_LRP5
Wnt2b	FZD8_LRP5
Wnt2b	FZD9_LRP5
Wnt3	FZD1_LRP5
Wnt3	FZD10_LRP5
Wnt3	FZD2_LRP5
Wnt3	FZD3_LRP5
Wnt3	FZD4_LRP5
Wnt3	FZD5_LRP5
Wnt3	FZD6_LRP5
Wnt3	FZD7_LRP5
Wnt3	FZD8_LRP5
Wnt3	FZD9_LRP5
Wnt3a	FZD1_LRP5
Wnt3a	FZD10_LRP5
Wnt3a	FZD2_LRP5
Wnt3a	FZD3_LRP5
Wnt3a	FZD4_LRP5
Wnt3a	FZD5_LRP5
Wnt3a	FZD6_LRP5
Wnt3a	FZD7_LRP5
Wnt3a	FZD8_LRP5
Wnt3a	FZD9_LRP5
Wnt4	FZD1_LRP5
Wnt4	FZD10_LRP5
Wnt4	FZD2_LRP5
Wnt4	FZD3_LRP5
Wnt4	FZD4_LRP5
Wnt4	FZD5_LRP5
Wnt4	FZD6_LRP5
Wnt4	FZD7_LRP5
Wnt4	FZD8_LRP5
Wnt4	FZD9_LRP5
Wnt6	FZD1_LRP5
Wnt6	FZD10_LRP5
Wnt6	FZD2_LRP5
Wnt6	FZD3_LRP5
Wnt6	FZD4_LRP5
Wnt6	FZD5_LRP5
Wnt6	FZD6_LRP5
Wnt6	FZD7_LRP5
Wnt6	FZD8_LRP5
Wnt6	FZD9_LRP5
Wnt7a	FZD1_LRP5
Wnt7a	FZD10_LRP5
Wnt7a	FZD2_LRP5
Wnt7a	FZD3_LRP5
Wnt7a	FZD4_LRP5
Wnt7a	FZD5_LRP5
Wnt7a	FZD6_LRP5
Wnt7a	FZD7_LRP5
Wnt7a	FZD8_LRP5
Wnt7a	FZD9_LRP5
Wnt7b	FZD1_LRP5
Wnt7b	FZD10_LRP5
Wnt7b	FZD2_LRP5
Wnt7b	FZD3_LRP5
Wnt7b	FZD4_LRP5
Wnt7b	FZD5_LRP5
Wnt7b	FZD6_LRP5
Wnt7b	FZD7_LRP5
Wnt7b	FZD8_LRP5
Wnt7b	FZD9_LRP5
Wnt8a	FZD1_LRP5
Wnt8a	FZD10_LRP5
Wnt8a	FZD2_LRP5
Wnt8a	FZD3_LRP5
Wnt8a	FZD4_LRP5
Wnt8a	FZD5_LRP5
Wnt8a	FZD6_LRP5
Wnt8a	FZD7_LRP5
Wnt8a	FZD8_LRP5
Wnt8a	FZD9_LRP5
Wnt8b	FZD1_LRP5
Wnt8b	FZD10_LRP5
Wnt8b	FZD2_LRP5
Wnt8b	FZD3_LRP5
Wnt8b	FZD4_LRP5
Wnt8b	FZD5_LRP5
Wnt8b	FZD6_LRP5
Wnt8b	FZD7_LRP5
Wnt8b	FZD8_LRP5
Wnt8b	FZD9_LRP5
Wnt9a	FZD1_LRP5
Wnt9a	FZD10_LRP5
Wnt9a	FZD2_LRP5
Wnt9a	FZD3_LRP5
Wnt9a	FZD4_LRP5
Wnt9a	FZD5_LRP5
Wnt9a	FZD6_LRP5
Wnt9a	FZD7_LRP5
Wnt9a	FZD8_LRP5
Wnt9a	FZD9_LRP5
Wnt9b	FZD1_LRP5
Wnt9b	FZD10_LRP5
Wnt9b	FZD2_LRP5
Wnt9b	FZD3_LRP5
Wnt9b	FZD4_LRP5
Wnt9b	FZD5_LRP5
Wnt9b	FZD6_LRP5
Wnt9b	FZD7_LRP5
Wnt9b	FZD8_LRP5
Wnt9b	FZD9_LRP5
Wnt1	FZD1_LRP6
Wnt1	FZD10_LRP6
Wnt1	FZD2_LRP6
Wnt1	FZD3_LRP6
Wnt1	FZD4_LRP6
Wnt1	FZD5_LRP6
Wnt1	FZD6_LRP6
Wnt1	FZD7_LRP6
Wnt1	FZD8_LRP6
Wnt1	FZD9_LRP6
Wnt10a	FZD1_LRP6
Wnt10a	FZD10_LRP6
Wnt10a	FZD2_LRP6
Wnt10a	FZD3_LRP6
Wnt10a	FZD4_LRP6
Wnt10a	FZD5_LRP6
Wnt10a	FZD6_LRP6
Wnt10a	FZD7_LRP6
Wnt10a	FZD8_LRP6
Wnt10a	FZD9_LRP6
Wnt10b	FZD1_LRP6
Wnt10b	FZD10_LRP6
Wnt10b	FZD2_LRP6
Wnt10b	FZD3_LRP6
Wnt10b	FZD4_LRP6
Wnt10b	FZD5_LRP6
Wnt10b	FZD6_LRP6
Wnt10b	FZD7_LRP6
Wnt10b	FZD8_LRP6
Wnt10b	FZD9_LRP6
Wnt16	FZD1_LRP6
Wnt16	FZD10_LRP6
Wnt16	FZD2_LRP6
Wnt16	FZD3_LRP6
Wnt16	FZD4_LRP6
Wnt16	FZD5_LRP6
Wnt16	FZD6_LRP6
Wnt16	FZD7_LRP6
Wnt16	FZD8_LRP6
Wnt16	FZD9_LRP6
Wnt2	FZD1_LRP6
Wnt2	FZD10_LRP6
Wnt2	FZD2_LRP6
Wnt2	FZD3_LRP6
Wnt2	FZD4_LRP6
Wnt2	FZD5_LRP6
Wnt2	FZD6_LRP6
Wnt2	FZD7_LRP6
Wnt2	FZD8_LRP6
Wnt2	FZD9_LRP6
Wnt2b	FZD1_LRP6
Wnt2b	FZD10_LRP6
Wnt2b	FZD2_LRP6
Wnt2b	FZD3_LRP6
Wnt2b	FZD4_LRP6
Wnt2b	FZD5_LRP6
Wnt2b	FZD6_LRP6
Wnt2b	FZD7_LRP6
Wnt2b	FZD8_LRP6
Wnt2b	FZD9_LRP6
Wnt3	FZD1_LRP6
Wnt3	FZD10_LRP6
Wnt3	FZD2_LRP6
Wnt3	FZD3_LRP6
Wnt3	FZD4_LRP6
Wnt3	FZD5_LRP6
Wnt3	FZD6_LRP6
Wnt3	FZD7_LRP6
Wnt3	FZD8_LRP6
Wnt3	FZD9_LRP6
Wnt3a	FZD1_LRP6
Wnt3a	FZD10_LRP6
Wnt3a	FZD2_LRP6
Wnt3a	FZD3_LRP6
Wnt3a	FZD4_LRP6
Wnt3a	FZD5_LRP6
Wnt3a	FZD6_LRP6
Wnt3a	FZD7_LRP6
Wnt3a	FZD8_LRP6
Wnt3a	FZD9_LRP6
Wnt4	FZD1_LRP6
Wnt4	FZD10_LRP6
Wnt4	FZD2_LRP6
Wnt4	FZD3_LRP6
Wnt4	FZD4_LRP6
Wnt4	FZD5_LRP6
Wnt4	FZD6_LRP6
Wnt4	FZD7_LRP6
Wnt4	FZD8_LRP6
Wnt4	FZD9_LRP6
Wnt6	FZD1_LRP6
Wnt6	FZD10_LRP6
Wnt6	FZD2_LRP6
Wnt6	FZD3_LRP6
Wnt6	FZD4_LRP6
Wnt6	FZD5_LRP6
Wnt6	FZD6_LRP6
Wnt6	FZD7_LRP6
Wnt6	FZD8_LRP6
Wnt6	FZD9_LRP6
Wnt7a	FZD1_LRP6
Wnt7a	FZD10_LRP6
Wnt7a	FZD2_LRP6
Wnt7a	FZD3_LRP6
Wnt7a	FZD4_LRP6
Wnt7a	FZD5_LRP6
Wnt7a	FZD6_LRP6
Wnt7a	FZD7_LRP6
Wnt7a	FZD8_LRP6
Wnt7a	FZD9_LRP6
Wnt7b	FZD1_LRP6
Wnt7b	FZD10_LRP6
Wnt7b	FZD2_LRP6
Wnt7b	FZD3_LRP6
Wnt7b	FZD4_LRP6
Wnt7b	FZD5_LRP6
Wnt7b	FZD6_LRP6
Wnt7b	FZD7_LRP6
Wnt7b	FZD8_LRP6
Wnt7b	FZD9_LRP6
Wnt8a	FZD1_LRP6
Wnt8a	FZD10_LRP6
Wnt8a	FZD2_LRP6
Wnt8a	FZD3_LRP6
Wnt8a	FZD4_LRP6
Wnt8a	FZD5_LRP6
Wnt8a	FZD6_LRP6
Wnt8a	FZD7_LRP6
Wnt8a	FZD8_LRP6
Wnt8a	FZD9_LRP6
Wnt8b	FZD1_LRP6
Wnt8b	FZD10_LRP6
Wnt8b	FZD2_LRP6
Wnt8b	FZD3_LRP6
Wnt8b	FZD4_LRP6
Wnt8b	FZD5_LRP6
Wnt8b	FZD6_LRP6
Wnt8b	FZD7_LRP6
Wnt8b	FZD8_LRP6
Wnt8b	FZD9_LRP6
Wnt9a	FZD1_LRP6
Wnt9a	FZD10_LRP6
Wnt9a	FZD2_LRP6
Wnt9a	FZD3_LRP6
Wnt9a	FZD4_LRP6
Wnt9a	FZD5_LRP6
Wnt9a	FZD6_LRP6
Wnt9a	FZD7_LRP6
Wnt9a	FZD8_LRP6
Wnt9a	FZD9_LRP6
Wnt9b	FZD1_LRP6
Wnt9b	FZD10_LRP6
Wnt9b	FZD2_LRP6
Wnt9b	FZD3_LRP6
Wnt9b	FZD4_LRP6
Wnt9b	FZD5_LRP6
Wnt9b	FZD6_LRP6
Wnt9b	FZD7_LRP6
Wnt9b	FZD8_LRP6
Wnt9b	FZD9_LRP6
Wnt5a	Fzd1
Wnt5a	Fzd10
Wnt5a	Fzd2
Wnt5a	Fzd3
Wnt5a	Fzd4
Wnt5a	Fzd5
Wnt5a	Fzd6
Wnt5a	Fzd7
Wnt5a	Fzd8
Wnt5a	Fzd9
Wnt5a	Mcam
Wnt5b	Fzd1
Wnt5b	Fzd10
Wnt5b	Fzd2
Wnt5b	Fzd3
Wnt5b	Fzd4
Wnt5b	Fzd5
Wnt5b	Fzd6
Wnt5b	Fzd7
Wnt5b	Fzd8
Wnt5b	Fzd9
Wnt11	Fzd1
Wnt11	Fzd10
Wnt11	Fzd2
Wnt11	Fzd3
Wnt11	Fzd4
Wnt11	Fzd5
Wnt11	Fzd6
Wnt11	Fzd7
Wnt11	Fzd8
Wnt11	Fzd9
Egf	Egfr
Egf	EGFR_ERBB2
Tgfa	Egfr
Tgfa	EGFR_ERBB2
Areg	Egfr
Areg	EGFR_ERBB2
Btc	Egfr
Btc	EGFR_ERBB2
Btc	Erbb4
Btc	ERBB2_ERBB4
Hbegf	Egfr
Hbegf	EGFR_ERBB2
Hbegf	Erbb4
Hbegf	ERBB2_ERBB4
Ereg	Egfr
Ereg	EGFR_ERBB2
Ereg	Erbb4
Ereg	ERBB2_ERBB4
Nrg1	Erbb3
Nrg1	ERBB2_ERBB3
Nrg1	Erbb4
Nrg1	ERBB2_ERBB4
Nrg2	Erbb3
Nrg2	ERBB2_ERBB3
Nrg2	Erbb4
Nrg2	ERBB2_ERBB4
Nrg3	Erbb4
Nrg3	ERBB2_ERBB4
Nrg4	Erbb4
Nrg4	ERBB2_ERBB4
Nrg1	ITGAV_ITGB3
Fgf1	Fgfr1
Fgf1	Fgfr2
Fgf1	Fgfr3
Fgf1	Fgfr4
Fgf2	Fgfr1
Fgf2	Fgfr2
Fgf2	Fgfr3
Fgf2	Fgfr4
Fgf4	Fgfr1
Fgf4	Fgfr2
Fgf4	Fgfr3
Fgf4	Fgfr4
Fgf5	Fgfr1
Fgf5	Fgfr2
Fgf5	Fgfr3
Fgf5	Fgfr4
Fgf6	Fgfr1
Fgf6	Fgfr2
Fgf6	Fgfr3
Fgf6	Fgfr4
Fgf7	Fgfr1
Fgf7	Fgfr2
Fgf3	Fgfr1
Fgf3	Fgfr2
Fgf10	Fgfr1
Fgf10	Fgfr2
Fgf22	Fgfr2
Fgf8	Fgfr1
Fgf8	Fgfr2
Fgf8	Fgfr3
Fgf8	Fgfr4
Fgf17	Fgfr1
Fgf17	Fgfr2
Fgf17	Fgfr3
Fgf17	Fgfr4
Fgf18	Fgfr1
Fgf18	Fgfr2
Fgf18	Fgfr3
Fgf18	Fgfr4
Fgf9	Fgfr1
Fgf9	Fgfr2
Fgf9	Fgfr3
Fgf9	Fgfr4
Fgf20	Fgfr1
Fgf20	Fgfr2
Fgf20	Fgfr3
Fgf20	Fgfr4
Fgf16	Fgfr1
Fgf16	Fgfr2
Fgf16	Fgfr3
Fgf16	Fgfr4
Fgf15	Fgfr1
Fgf15	Fgfr2
Fgf15	Fgfr3
Fgf15	Fgfr4
Fgf21	Fgfr1
Fgf21	Fgfr3
Fgf23	Fgfr1
Fgf23	Fgfr3
Fgf23	Fgfr4
Pdgfa	Pdgfra
Pdgfa	Pdgfrb
Pdgfb	Pdgfra
Pdgfb	Pdgfrb
Pdgfc	Pdgfra
Pdgfd	Pdgfrb
Vegfa	Flt1
Vegfa	Kdr
Vegfb	Flt1
Vegfc	Flt4
Vegfc	Kdr
Vegfd	Flt4
Vegfd	Kdr
Pgf	Flt1
Vegfa	FLT1_KDR
Vegfc	FLT4_KDR
Vegfd	FLT4_KDR
Igf1	Igf1r
Igf2	Igf1r
Igf2	Igf2r
Igf1	ITGAV_ITGB3
Igf1	ITGA6_ITGB4
Igf2	ITGAV_ITGB3
Igf2	ITGA6_ITGB4
Igfl3	Igflr1
Ins1	Insr
Ins2	Insr
Apln	Aplnr
Dhh	PTCH1_SMO
Ihh	PTCH1_SMO
Shh	PTCH1_SMO
Dhh	PTCH2_SMO
Ihh	PTCH2_SMO
Shh	PTCH2_SMO
Ccl5	Ccr1
Ccl3	Ccr1
Ccl8	Ccr1
Ccl9	Ccr1
Ccl6	Ccr1
Ccl7	Ccr1
Ccl5	Ccr1l1
Ccl3	Ccr1l1
Ccl8	Ccr1l1
Ccl9	Ccr1l1
Ccl6	Ccr1l1
Ccl7	Ccr1l1
Ccl8	Ccr2
Ccl6	Ccr2
Ccl7	Ccr2
Ccl2	Ccr2
Ccl12	Ccr2
Ccl27a	Ccr2
Ccl27b	Ccr2
Ccl5	Ccr3
Ccl6	Ccr3
Ccl7	Ccr3
Ccl11	Ccr3
Ccl24	Ccr3
Ccl26	Ccr3
Ccl28	Ccr3
Ccl27a	Ccr3
Ccl27b	Ccr3
Ccl17	Ccr4
Ccl22	Ccr4
Ccl5	Ccr4
Ccl4	Ccr5
Ccl5	Ccr5
Ccl3	Ccr5
Ccl8	Ccr5
Ccl20	Ccr6
Ccl19	Ccr7
Ccl21	Ccr7
Ccl21a	Ccr7
Ccl21b	Ccr7
Ccl21d	Ccr7
Ccl21f	Ccr7
Ccl21e	Ccr7
Ccl19	Ackr4
Ccl21	Ackr4
Ccl21a	Ackr4
Ccl21b	Ackr4
Ccl21d	Ackr4
Ccl21f	Ackr4
Ccl21e	Ackr4
Ccl1	Ccr8
Ccl25	Ccr9
Ccl25	Ackr4
Ccl28	Ccr10
Ccl27a	Ccr10
Ccl27b	Ccr10
Ccl1	Ackr4
Ccl8	Ackr4
Ccl1	Ackr1
Ccl2	Ackr1
Ccl2	Ackr2
Ccl3	Ackr2
Ccl4	Ackr2
Ccl5	Ackr1
Ccl5	Ackr2
Ccl7	Ackr1
Ccl8	Ackr1
Ccl11	Ackr1
Ccl11	Ackr2
Ccl22	Ackr2
Ccl24	Ackr2
Ccl26	Ackr2
Ccl17	Ackr1
Ccl17	Ackr2
Cxcl1	Cxcr1
Cxcl5	Cxcr1
Cxcl2	Cxcr1
Cxcl3	Cxcr1
Cxcl1	Cxcr2
Cxcl5	Cxcr2
Cxcl2	Cxcr2
Cxcl3	Cxcr2
Ppbp	Cxcr2
Pf4	Cxcr3
Cxcl9	Cxcr3
Cxcl10	Cxcr3
Cxcl11	Cxcr3
Cxcl13	Cxcr3
Cxcl12	Cxcr4
Cxcl12	Ackr3
Cxcl13	Cxcr5
Cxcl16	Cxcr6
Cxcl1	Ackr1
Cxcl2	Ackr1
Cxcl3	Ackr1
Cxcl5	Ackr1
Cxcl9	Ackr1
Cxcl10	Ackr1
Cxcl11	Ackr1
Cxcl11	Ackr3
Cxcl13	Ackr1
Mif	CD74_CXCR4
Mif	CD74_CD44
Mif	CD74_CXCR2
Mif	Ackr3
Cx3cl1	Cx3cr1
Xcl1	Xcr1
Il2	IL2RA_IL2RB
Il2	IL2RB_IL2RG
Il4	IL4R_IL2RG
Il7	IL7R_IL2RG
Il9	IL9R_IL2RG
Il15	IL15RA_IL2RB
Il21	IL21R_IL2RG
Tslp	IL7R_CRLF2
Il3	IL3RA_CSF2RB
Il5	IL5RA_CSF2RB
Csf2	CSF2RA_CSF2RB
Il4	Il4ra
Il4	IL4R_IL13RA1
Il4	IL4R_IL13RA2
Il13	IL4R_IL13RA1
Il13	IL4R_IL13RA2
Il13	Il13ra1
Il13	Il13ra2
Il6	IL6R_IL6ST
Il11	IL11R complex 1
Il11	IL11R complex 2
IL12AB	IL12RB1_IL12RB2
IL23 complex	IL23R_IL12RB1
IL27 complex	IL27RA_IL6ST
Il31	IL31RA_OSMR
Cntf	CNTFR_LIFR
Clcf1	CNTFR_LIFR
Ctf1	LIFR_IL6ST
Lif	LIFR_IL6ST
Osm	LIFR_IL6ST
Osm	OSMR_IL6ST
Il10	IL10RA_IL10RB
Il19	IL20RA_IL20RB
Il20	IL20RA_IL20RB
Il24	IL20RA_IL20RB
Il20	IL22RA1_IL20RB
Il24	IL22RA1_IL20RB
Il22	IL22RA1_IL10RB
Il1a	IL1R1_IL1RAP
Il1b	IL1R1_IL1RAP
Il36a	IL1RL2_IL1RAP
Il36b	IL1RL2_IL1RAP
